Modules	H2	H3	H4	J2	J3	J4	J5	J6	L1	L2	L3	L4	L5	L6	M1	M2	M3	M4	M5	M6	N1	N2	N3	N4	N5	N6	O1	O2	O3	O4	O6	R1	R2	R3	R4	R5	R6	S1	S2	S4	S5	T1	T2	T3	T4	T5	V1	V2	V3	V4	V5	V6	Z2	Z3	Z4	Z5
M00336_Twin-arginine translocation (Tat) system	2117.41	1510.4	2037.69	990.37	506.69	469.16	1030.51	573.85	2926.3	2112.28	1886.3	8286.01	3127.51	7722.72	2157.16	2119.96	1995.63	3168.83	3024.75	3233.24	1937.21	2144.88	1042	884.16	700.8	1447.24	7145.55	6772.66	7584.35	4637.34	4036.98	2018.75	2417.16	2488.93	1261.78	2780.36	1123.2	1351.04	1505.81	1715.09	1674.9	2134.99	2645.56	2455.56	2027.02	2361.77	2077.67	2128.38	3098.37	2204.64	2867.03	2302.59	3010.8	3194.51	3074.11	3252.61
M00337_Immunoproteasome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00338_Cysteine biosynthesis, from homocysteine + serine	567.59	197.07	457.63	25.8	28.54	17.28	21.69	8.13	1385.62	2074.94	318.4	498.68	1043.1	90.4	369.05	844.01	430.29	198.33	238.29	339.1	195.38	731.97	129.21	19.88	94.8	57.64	494.56	275.03	311.53	193.59	897.33	10.44	30.56	18.76	21.63	52.13	9.6	160.86	748.43	148.8	690.43	1220.18	856.36	1571.64	1171.17	838.97	186.2	18.4	8.83	164.9	9.53	28.91	1630.45	817.38	660.04	930.76
M00339_RaxAB-RaxC type I secretion system	1093.98	1271.41	1362.24	751.83	259	183.88	794.53	245.53	3803.48	2396.77	1812.08	2435.08	2250	1448.37	1115.55	902.17	957.22	1316.47	1396.59	1380.8	995.76	1454.11	737.5	511.61	333.8	978.27	4055.68	4419.13	1632.28	1936.97	1884.94	1468.21	2198.51	2066.12	1029.06	2389.26	592.8	1007.38	988.97	881	1506.04	1884.48	1807.89	1809.38	1355.11	1562.17	1728.09	1920.74	2612.77	2036.76	2213.38	2186.47	1678.31	2073.83	1922.37	2052.76
M00342_Bacterial proteasome	225.09	0	101.55	7.32	0.84	0.42	2.88	2.76	96.3	155.31	23.7	78.93	83.88	23.4	12.99	27.72	7.98	1.29	3.06	2.88	457.86	174.78	35.58	26.4	11.67	0	76.02	22.14	27.6	14.13	37.89	0	0	0	0	0	0	7.77	0	0	0	9.9	0	2.76	3.96	9.9	0	0	0	0	0	0	4.26	1.02	52.8	7.41
M00343_Archaeal proteasome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00344_Formaldehyde assimilation, xylulose monophosphate pathway	6426.4	3707.92	5911.55	3076.42	4245.02	5140.14	3429.39	6712.2	8363.64	10698.09	3564.53	5158.02	7054.05999999999	4044.16	4947.41	8701.87	5669.63	3299.49	3423.88	4221.79	3536.22	7826.53	3847.86	3495.63	5539.66	4518.55	5272.47	4310.79	3963.09	2829.84	5589.59	2633.39	3179.87	4381	1730.5	3577.34	1739.64	3046.74	6442.19	3689.79	4820.76	8868.57	8018.07	10653.48	10359.57	7544.89	5546.31	5901.73	5086.28	4745.71	5169.48	8517.15	10136.52	8941.76	7765.94	7163.26999999999
M00345_Formaldehyde assimilation, ribulose monophosphate pathway	13267.85	6018.08	12348.58	9600.22	12553.12	12011.71	9020.42	12132.6	20185.58	23818.02	8918.23	13475.14	16412.82	10316.07	11374.54	19119.92	13386.47	7788.4	8110.74	9941.73	6487.67	15537.9	7804.12	5589.99	11676.14	7643.8	14046.45	12262.49	10768.09	7958.49	13245.12	6664.81	7979.6	9817.53	4938.73	8445.04	4362.95	7762.99	13870.66	8627.26	11051.59	18366.87	14692.62	19606.59	18398.8	14297.37	13315.51	14008.87	12186.77	11908.07	12192.4	19350.22	20449.07	16408.32	15502.95	14840.57
M00346_Formaldehyde assimilation, serine pathway	8408.83	5023.59	8071.52	11591.32	14209.3	13042.59	10592.45	10084.9	17060.56	17265.07	7796.82	14347.87	13075.67	12814.43	9902.14	15742.9	11492.12	7821.59	8015.82	9428.81	6618.1	9289.01	7888.63	5146.17	10727.45	6401.03	14388.56	13305.12	11746.43	8530.3	11446.08	6892.23	8049.51	8395.52	5183.92	8661.31	4583.24	5983.62	9037.15	6384.61	8144.45	12783.57	10897.99	12214.54	11862.59	10624.15	11370.19	10230.98	10839.76	10539.71	10211.94	13220.48	14266.25	11022.9	11516.12	11755.92
M00348_Glutathione TS	533.43	576.6	464.14	221.12	356.2	383.8	368.88	442.96	2083.9	3050	756.87	833.12	1691.23	661.15	3930.76	5623.26	4244.46	2701.89	2653.1	2635.96	344.42	636.67	462.75	498.36	581.54	706.3	848.24	576.98	558.72	400.66	1876.4	247.33	145.12	89.15	234.83	162.88	385.52	425.68	1301.31	399.66	1110.06	1925.43	827.43	1625.71	1165.34	948.8	494.94	273.76	147.47	447.16	202.9	476.3	2602.8	920.37	1214.61	1689.17
M00349_Microcin C TS	1854.34	576.68	1455.36	217.8	356.08	383.6	343.32	439.98	55.68	29.52	203.88	69.26	63.92	451.3	1174.81	1596.04	912.37	2699.77	2424.02	2849.82	343.76	1789.13	459.05	482.2	575.68	698.2	27.66	61.92	36.8	43.2	38	228.08	52.52	25	195.64	70.62	367.64	398.58	639.28	937.52	104.78	151.06	506.1	797.54	664.5	344.72	22.84	48.96	14.42	53.84	15.7	25.52	121.72	540.14	223.34	101.7
M00350_Capsaicin biosynthesis	0	0	0	0	0	0	0	0	0	0.29	0	0	0.44	5.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	3.92	0.3	0.96	1.11	0.29	0	0	0	0	0.26	442.79	734.92	267.13	947.6	652.96	0	0	0	0	0	0	78.18	364.58	207.32	36.15
M00356_Methanogenesis, from methanol	298.71	3.24	226.57	14.2	288.77	635.29	106.25	169.87	68.24	45.42	20.79	13.32	24.39	29.61	1183.58	2997.91	1755.96	554.74	558.16	705.59	47.17	274.73	146.33	28.69	17.2	18.4	348.96	226.76	95.27	143.82	204.22	126.82	318.46	165.26	224.92	201.41	260.61	178.14	189.4	328.34	127.84	1631.1	2296.08	966.09	3010.62	2060.58	428.68	569.76	335.04	456.89	450.96	987.27	612.03	1344.95	1383.2	650.57
M00357_Methanogenesis, from acetate	5490.73	4208.76	5221.11	7634.94	9587.27	9602.54	7476.69	7741.79	8829.31	8411.02	4678.66	5116.8	6558.33	4575.5	5081.17	8480.01	6542.41	4106.58	4195.79	4829.74	5309.4	6141.48	6092.26	4675.52	7531.52	5305.22	7096.81	6698.35	3927.86	3797.82	5232.83	4047.04	5289.02	5251.1	3145.4	5231.6	2863.1	3702.21	4977	4193.56	4405.75	8564.26	8789.26	7841.84	10281.23	8352.07	7501.36	7658.94	7191.64	7260.24	6997.94	9522.17	7613.81	8145.82	7901.39	6809.58
M00358_Coenzyme M biosynthesis	21.92	24.65	18.28	87.53	242.19	97.81	28.05	25.16	675.09	1006.24	179.63	229.72	499.91	43.27	294.97	745.62	400.29	129.38	151.8	220.83	52.65	18.2	115.73	59.96	87.52	153.37	227.41	132.09	158.87	120.53	465.98	12.48	49.33	43.08	18.91	47.85	6.54	103.47	388.28	72.05	352.88	1032.13	922.38	657.07	1213.81	910.48	170.43	95.64	62.31	152.98	91.09	151.33	874.62	529.6	526.27	523.64
M00360_Aminoacyl-tRNA biosynthesis, prokaryotes	48956.81	33224.15	45699.15	63632.36	84701.91	86169.39	63185.9	73631.24	71205.54	66812.35	37663.81	63697.79	57528.34	62627.72	46541.77	64643.13	54271.11	38846.95	39074.78	46171.86	44514.42	54013.24	50825.55	38905.51	70047.83	43580.77	64029.13	59433.78	53285.65	39317.51	48356.43	33328.01	39374.32	38332.09	25512.85	39948.12	23814.35	30047.05	39121.51	35209.27	32800.89	56812.2	60935.1	60914.38	67167.26	56482.79	57585.85	49892.91	52031.05	52157.92	50208.8	62359.92	59104.07	61904.16	57718.33	51694.32
M00362_Nucleotide sugar biosynthesis, prokaryotes	12651.74	14867.31	12569.28	25719.75	31356.05	31209.78	25645.65	26052.33	26429.66	22977.6	12689.62	19286.06	17998.35	18274.03	12454.51	15326.22	13521.89	12113	12245.45	13967.96	18219.6	14259.02	19576.67	14402.79	25184.05	17824.7	19820.08	19223.72	17193.64	13503.78	16286.96	10068.47	12646.53	12013.27	7027.27	12385.11	6660.52	8626.67	11349.8	9314.99	11279.69	19122.52	18972.86	17666.61	20088.07	17909.56	14240.73	12480.78	14355.47	13761.72	12717.77	14494.95	18541.6	19145.82	17533.34	16832.21
M00363_EHEC pathogenicity signature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00364_C10-C20 isoprenoid biosynthesis, bacteria	2211.06	2478.42	2075.92	4392.02	5826.77	5616.52	4113.41	5695.72	3977.23	3534.59	2095.23	3391.98	3102.6	3904.07	2302.15	3406.31	2749.52	1852.6	1877.98	2230.48	2796.95	2448.9	3275.65	2312.28	5447.45	3104.08	3273.97	2974.46	2661.72	1897.24	2314.75	1847.29	2050.54	1842.13	1253.71	2123.29	1381.85	1457.26	1788.08	1683.61	1549.9	2768.2	2960.25	2909.95	3200.38	2765.35	3156.18	2374.73	2548.82	2869.82	2367.45	2987.87	3004.61	3141.05	3016.93	2668.76
M00365_C10-C20 isoprenoid biosynthesis, archaea	108.14	980.52	65.92	1902.54	2597.12	2301.6	1563.49	2654.44	664.93	452.42	305.92	373.83	421.42	924.65	167.97	425.22	245.93	50.05	69.48	106.92	968.15	87.66	1224.62	665.97	2621.61	1201.06	264.43	169.76	178.34	53.95	76.96	290.91	235.98	97.73	68.11	283.5	282.05	66.47	65.42	97.23	44.78	189.02	171.64	137.19	143.66	189.68	529.84	128.93	168.09	499.17	88.48	233.04	301.19	293.58	305.92	259.34
M00368_Ethylene biosynthesis	2113.82	1536.01	2059.03	2657.27	3564.63	4254.12	2840.37	3420.67	4826.93	5357.27	2286	3657.08	3927.98	3155.91	2756.05	4618.83	3470.52	2110.46	2151.07	2623.79	2161.04	2243.29	2768.16	2393.19	2910.22	2179.51	3643.93	3214.65	2898.99	2081.36	3183.99	1931.18	2065.48	1921.12	1740.64	2039.84	1629.15	1779.38	2623.66	1895.87	2264.56	3794.16	2928.81	3203.26	3339.09	2981.47	2996.41	2468.1	2518.56	2704.39	2482.84	3076.45	4326.03000000001	3234.2	3457.68	3405.95
M00369_Cyanogenic glycoside biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00370_Glucosinolate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00371_Castasterone biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00372_Abscisic acid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00373_Ethylmalonyl pathway	5605.57	2871.73	5350.83	4034.86	3491.83	3443.6	4046.71	2085.98	10750.12	10548.54	5331.99	9900.59	8107.3	7432.87	5434.17	6985.58	5621.39	8922.26	8546.52	10326.19	4307.53	5683.27	3177.69	2908.99	2272.48	3068.74	10294.6	10096.05	8502.11	6848.76	7837.43	3431.9	5176.85	5560.4	2448.36	5416.63	1420.82	3229.16	5050.21	3581.58	5054.68	7884.59	7110.87	6945.57	7132.7	7046.35	4755.57	5478	6467.63	4791.3	5463.58	6451.28	8775.04	7467.1	6898.53	7683.82
M00374_Dicarboxylate-hydroxybutyrate cycle	11777.91	6131.7	11099.94	11381.26	12573.76	11629.67	11242.92	7288.75	17460.65	17477.2	9495.31	19553.63	14627.38	17838.88	12241.67	17754.2	13853.51	12801.69	12351.69	14054.74	9441.92	12491.97	8609.58	6531.73	8745.49	7324.63	19321.37	17889.5	16562.67	12064.27	13744.89	8537.7	10166.15	11224.86	6759.82	11162.56	6263.15	7141.99	9969.17	8377.08	8456.68	15462.01	16234.84	14470.71	17628.1	15197.82	11728.09	11865.33	13493.76	10692.53	12590.8	15412.08	15340.06	15097.17	14781.56	14163.9
M00375_Hydroxypropionate-hydroxybutylate cycle	2623.43	1011.61	2505.97	2876.3	3898.74	4955.49	3049.76	2474.67	5550.64	6933.35	2692.85	7037.7	5096.61	5983.25	2101.38	3518.03	2988.09	2960.82	2845.84	3556.15	2846.02	2781.68	3249.44	3354.4	2264.69	1837.08	5776.87	4922.66	5866.32	3690	4632.19	1741.77	2012.92	2996.72	1044.99	2308.91	850.17	1494.31	3449.22	1791.7	2604.47	4631.21	3297.64	3551.69	3805.59	3553.23	2309.76	3359.47	3027.2	2083.99	2702.92	4161	5794.94	3778.42	3641.72	4273.72
M00376_3-Hydroxypropionate bi-cycle	10763.96	8687.73	10650.2	12246.46	14653.4	16578.28	12774.4	14024.87	20186.48	17310.88	10654.36	20959.32	15629.36	19593.6	10984.79	13868.42	11399.9	12308.35	12089.49	13976.28	12069.96	12022.63	11828.43	10103.33	12500.37	10688.14	19873.93	19436.9	17761.01	12991.09	13865.43	9102.8	9834.08	10396.7	7017.63	10954.07	5949.17	7367.29	8581.9	7746.93	8526.95	14432.77	15953.75	14783.04	16652.41	14691.82	12369.98	10996.02	13150.71	11718.57	11996.3	13476.04	14487.42	16214.17	14730.22	13682.73
M00377_Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	8002.55	3775.65	7315.25	7957.76	10768.22	13235.52	8218.09	9075.34	10534.92	10609.97	5577.14	9431.36	8612.6	8119.99	8378.04	13764.2	10128.46	5959.14	6110.03	7196.96	6049.72	8645.49	8743.69	8273.13	7735.97	5935.54	10143.43	9355.67	7975.98	5985.72	7685.43	5263.11	6588.34	6349.11	4322.27	6391.18	3683.8	5736.33	7124.89	6256.12	6179.2	10323.14	9165.11	9632.96	10156.44	8986.16	12524.09	11362.19	10257.98	11200.64	11130.3	15001.99	10649.93	9367.73	10096.86	9132.04
M00416_Cytochrome aa3-600 menaquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00417_Cytochrome o ubiquinol oxidase	36.32	581.64	31.68	223.89	367.37	386.96	367.03	449.05	59.52	29.52	217.88	71.16	63.32	456.08	1.04	0.92	3.44	0.36	1.36	14.2	376.27	68.76	596.58	487.46	599.96	695.93	24.72	62.36	36.24	43.2	2.84	224.8	50.12	23.56	197.88	71.48	367.16	102.8	98.76	58.96	50.44	39.76	4.8	1.64	5.72	3.32	22.84	48.96	14.2	53.84	15.48	25.52	10.48	23.48	0.56	1
M00418_Toluene degradation to benzoyl-CoA (anaerobic )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00419_Cymene degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00422_Acetyl-CoA pathway	434.96	51.58	311.16	177.26	625.38	1572.04	395.76	547.9	1.28	0	0	0	0	0.96	316.56	925.44	567.28	109.5	122.62	165.04	243.28	410.28	938.68	1200.48	132.9	319.76	0	1.28	1.72	0	1	40.5	261.02	172.04	76.74	123.24	11.04	299.5	245.56	319.5	139.78	388.48	36.58	89.04	70.58	143.1	1411.72	1291.82	832.92	1215.38	1176.06	1741.92	234.54	62.46	371.52	227.26
M00423_Molybdate/tungstate TS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00424_Shelterin complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00425_H/ACA ribonucleoprotein complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00426_Survival motor neuron (SMN) complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00427_Nuclear pore complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00428_eIF4F complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00429_Competence-related DNA transformation transporter	5682.51	10193.7	5304.24	11843.02	16720.86	17975.84	12420.48	23335.6	13109.49	11092.68	6349.33	11774.54	10299.52	15641.26	5704.74	8501.34	7016.41	4128.48	4221.95	5329.45	10451.46	6352.68	10893.49	9154.59	19613.52	12530.88	9187.04	8060.54	8890.62	5234.28	6409.93	5505.93	5474.58	4592.29	2980.23	5946.23	3773.82	3707.45	4757.35	4245.72	3850.84	7721.86	8198.6	7764.09	9585.86	7690.76	10860.27	6426.81	6966.16	9607.56	5982.59	7823.92	7487	8417.7	7753.1	6393.79
M00430_Exon junction complex (EJC)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00432_Leucine biosynthesis	10897.49	6091.62	10100.42	11640.88	14186.12	12390.95	9510.59	12465.89	13232.45	12357.63	7056.72	12018.38	10709.89	11807.44	9174.83	13018.48	10750.88	8436.78	8347.46	9736.88	7731.89	12148.69	8158.42	4541.48	12554.76	7787.11	12056.39	11250.47	9968.19	7362.04	8937.37	6766.51	7797.57	8654.94	4851.52	8393.1	4616.79	5694.66	7823.15	6990.23	6172.47999999999	9749.98	10963.99	12261.67	11877.3	9863.61	10958.52	10292.39	10781.72	9614.95	10295.62	13359.53	11145.51	12041.21	11140.55	9948.24
M00433_Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00434_Phosphate starvation response 2-CRS (Pho)	4997.67	2551.2	4611.15	4627.15	6418.99	6740.44	4859.32	6138.11	6178.8	5583.72	4060.54	7036.36	5433.48	6224.07	4867.79	7494.96	6007.31	3982.49	4042.73	4702.09	2578.36	5576.54	4092.6	3258.9	5624.27	3559.67	8485.04	8003.56	5412.05	4118.38	4585.3	3904.64	4389.48	4300.55	2617.4	4678.06	2077.7	3431.43	4010.68	3618.66	3800.33	6044.4	7194.07	6563.65	7848	6520.12	6596.19	6200.16	6226.48	6118.74	6391.6	7708.42	6158.63	7142.78	6817.24	5570.66
M00435_Taurine TS	1043.03	435.62	952.06	167.21	266.92	289.08	260.77	331.11	786.93	1149.65	388.02	334.3	602.78	419.41	551.62	1044.65	629.18	354.81	342.5	412.56	279.02	1356.57	423.18	362.16	440.99	523.97	319.95	221.86	194.08	163.11	513.81	325.27	325.16	428.3	213.21	317.91	334.41	224.25	624.76	236.3	439.21	836.5	973.61	1624.78	1328.44	788.65	255.71	439.43	303.6	221.54	292.52	665.74	1038.16	1016.32	711.59	725.39
M00436_Sulfonate TS	3970.23	691.86	3542.65	194.43	301.65	307.56	268.35	334.73	5401.03	6752.09	1921.42	2317.91	3855.01	2833.72	2635.19	4683.42	3071.83	2097.62	1888.01	2115.94	300.46	4763.65	448.47	368.13	544.22	606.68	2619.36	1550.96	1388.68	909.1	2926.3	1811.15	1884.01	2726.09	579.41	2401.36	1216.34	806.91	2875.42	965.16	1995.37	5219.63	5737.06	6474.71	7406.07	4980.47	2753.09	2398.58	2360.3	2041.52	2141.32	3898.72	5456.46	4773.1	3846.09	3891.04
M00437_Phthalate TS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00438_Nitrate/nitrite TS	0.12	195.84	0	21.54	25.53	17.1	22.2	4.83	0	0	0	0	0	0	0.15	0.12	0.06	0.06	0	0	32.13	0	79.32	14.94	85.71	56.85	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0.12	0.21	0	0	0	0	0	0	0	0	0	0.21	0.63	0.27	0.42
M00439_Oligopeptide TS	18404.38	10136.17	15662.78	15334.05	23057.9	25168.35	16358.47	26571.67	17286.68	19761.93	8048.2	14588.54	15124.89	17949.02	11645.29	17967.74	13247.44	6481.38	6611.49	8853.67	11964.97	21417.18	13799.63	10851.86	23115.76	13550.44	10058.03	7917	11580.17	6859.96	10891.46	6631.33	6863.91	7827.1	3524.45	6952.4	4860.34	5867.74	11401.22	8654.53	6952.97	12173.33	13739.23	21805.97	18680.54	11637.22	13762.23	10896.27	8843.41	11409.11	8316.01	15540.49	15154.5	16002.49	12353.58	10805.39
M00440_Nickel TS (B)	913	575.06	840.61	313.07	1888.16	3653.37	678.71	1386.39	476.81	758.12	679.58	1453.59	610.46	1802.34	2337.3	3927.74	2627.9	1509.48	1397.86	1392.02	917.84	940.4	1451.93	443.05	737.76	456.34	974.46	813.65	1159.3	729.43	802.29	710.89	749.35	977.11	430.86	635.43	629.59	367.25	461.29	301.49	185.1	820.81	1218.38	656.6	1287.42	969.86	595.61	1150.3	803.15	480.3	802.72	1858.09	796.41	968.37	1367.36	967.6
M00442_Putative hydroxymethylpyrimidine TS	272.19	196.32	191.91	22.02	25.95	17.52	22.68	6.48	826.47	699.81	362.55	377.67	733.77	505.59	413.79	700.2	574.2	958.11	872.13	1257.42	32.13	184.26	80.31	15.48	86.22	57.72	414.12	228.48	344.16	193.47	254.37	0.99	0	0	1.89	0.87	0	36.69	42.72	69.9	41.94	1.74	1.71	1.65	0	4.05	0	0.48	0	0	0	0	6.21	9.81	5.1	3.33
M00443_Phosphate starvation response 2-CRS (Sen-RegX3)	150.06	0	67.7	4.88	0.56	0.28	1.92	1.84	64.2	103.54	15.8	52.62	55.92	15.6	8.66	18.48	5.32	0.86	2.04	1.92	305.24	116.52	23.72	17.6	7.78	0	50.68	14.76	18.4	9.42	25.26	0	0	0	0	0	0	5.18	0	0	0	6.6	0	1.84	2.64	6.6	0	0	0	0	0	0	2.84	0.68	35.2	4.94
M00444_Magnesium transport 2-CRS	18.2	355.37	15.84	118.63	191.92	198.01	180.42	225.05	29.76	14.76	108.94	35.58	31.66	228.04	0.57	0.5	1.74	0.2	0.68	7.1	198.54	34.38	323.87	242.3	325.63	365.34	12.36	31.18	18.12	21.6	1.42	112.4	25.06	11.78	99.01	35.74	183.58	51.4	49.38	29.48	25.22	19.88	2.4	0.82	2.86	1.66	11.42	24.48	7.1	26.92	7.74	12.76	5.24	11.95	0.28	0.5
M00445_Osmotic stress response 2-CRS (Env)	393.65	355.69	307.16	119.43	192.2	198.29	180.9	226.15	30.4	14.76	108.94	35.77	31.66	229.47	615.85	777.98	563.03	918.28	858.18	1048.22	198.54	443.34	324.87	242.66	326.03	365.66	13.09	31.18	19.84	21.6	73.74	217.84	120.06	168.28	136.27	245.53	204.94	63.63	68.18	64.66	41.31	75.53	474.63	523.19	391.59	304.06	259.56	24.48	291.45	27.26	385.37	13.58	267.84	488.92	400.77	288.41
M00446_RstB-RstA 2-CRS	18.16	287.58	15.52	108.12	177.76	191.06	170.22	218.66	27.84	14.76	101.94	34.44	31.66	224.22	0.16	0.14	0.38	0.18	0.68	7.1	171.78	33.38	228.44	240.74	287.3	347.36	12.36	30.54	18.12	21.6	0.92	112.4	25.06	11.78	97.26	35.02	183.58	51.4	49.38	29.48	25.22	19.88	2.4	0.82	2.86	1.66	11.42	24.48	7.1	26.92	7.74	12.76	5.24	11.74	0.28	0.5
M00447_Envelope stress response 2-CRS (CpxA-R)	254.96	290.78	217	111.78	183.6	193.48	180.04	224.18	30.08	14.76	108.94	36.34	31.66	228.04	98.72	75.66	115.64	235.38	166.72	155.14	188.08	264.74	298.02	241.62	299.7	348.4	68.16	51.42	19.84	21.6	64.26	112.4	25.06	11.78	99.5	35.74	183.58	51.4	49.38	31.4	25.22	130.12	173.35	150.7	114.29	103.81	11.42	24.48	7.1	26.92	7.74	12.76	178.65	209.34	223.72	228.37
M00448_Secretion stress response 2-CRS	75.52	0	84.64	0.32	0.28	0	0	0	232.76	407.72	286.78	268.68	345.34	200.52	90.24	121.04	166.54	90.38	60.78	59.94	0	88.8	0	0	0	0	246	170.02	119.04	108.26	128.18	80.3	130.8	74.08	44.48	46.36	39.84	135.68	100.28	135.96	83.86	136.46	67.66	78	133.86	88.2	228.84	304.64	246.48	125.14	199.48	59.44	163.86	351.02	419.82	213.02
M00449_Phosphate regulation 2-CRS	18.16	287.42	15.52	107.46	177.42	191.06	156.32	217.28	27.84	14.76	101.94	34.44	31.66	224.22	0.16	0.14	0.38	0.18	0.68	7.1	171.56	33.38	227.36	232.3	286.18	346.54	12.36	30.54	18.12	21.6	0.92	112.4	25.06	11.78	97.26	35.02	183.58	51.4	49.38	29.48	25.22	19.88	2.4	0.82	2.86	1.66	11.42	24.48	7.1	26.92	7.74	12.76	5.24	11.74	0.28	0.5
M00450_Envelope stress response 2-CRS (BaeS-R)	18.16	290.78	15.84	111.78	183.6	193.48	180.04	224.36	29.76	14.76	108.94	35.58	31.66	228.04	0.52	0.46	1.72	0.18	0.68	7.1	188.08	34.38	298.02	241.62	299.7	347.76	12.36	31.18	18.12	21.6	1.42	112.73	25.06	11.78	98.94	35.74	183.58	51.4	49.38	29.48	25.22	19.88	2.4	0.82	2.86	1.66	11.42	24.48	7.1	26.92	7.74	12.76	5.24	11.74	0.28	0.5
